"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Double Hip Flexor Stretch","Other","Take 5 minutes to stretch the hips fully. Do both sides, 2 times through, holding 30-45 seconds on each leg. Video of the stretch is here although you can adjust it a bit if this stretch is too agressive. https://www.youtube.com/watch?v=FJ4exDo_3ew","0.0833333333333333","","2018-01-01","","","","","","","0.0833333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Day off other than skiing","Other","","","","2018-01-01","","24217.990234375","","","","","3.26206707954407","2.06200003623962","","","","80","120","","","0.541929769570073","109.31","196","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-01-02","","11979.4296875","","",""," *01/03/2018 Keith Kruelskie: 151 avg hr*","0.977106662326389","3.40599989891052","","91","","151","171","","","0.911978174578223","89.98","1","2","9","29","7","5","5","","","","","","","","","","","","","","",""
"Z1/Z2 Recovery/Aerobic Run (as you feel)","Run","Warmup up 10 minutes easy. Run recovery/easy endurance pace in Zones 1 and 2. Don't force the pace. Cool down 5 minutes easy.","0.833333333333333","","2018-01-02","","","","","","","0.833333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim, Z1/Z2 easy endurance 2 x 900 ladder {2600}","Swim","Warmup 300 Freestyle Warmup 200 stroke and/or kick Swim 2 sets of Broken 900 Easy Endurance Freestlye ladder [50-100-150-300-150-100-50 with ~10 seconds rest in between]. Swim 4 X 50 open water sighting drill (10 seconds rest between) Cool down 100 Choice","0.833333333333333","2377.43994140625","2018-01-02","","2377.44006347656","","","","","0.640137502882216","1.03134726781589","","22","","","","","","0.789760899097212","31.53","","","","","","","","","","","","","","","","","","","","","",""
"Strength: Pushups and dips, 60 of each","Strength","Do 4 sets of the following with as much recovery in between. 15 pushups 15 dips on a chair","0.333333333333333","","2018-01-02","","","","","","","0.333333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2018-01-03","","0","200","396","1439.664","","2.00078219943576","0","","86","","127","152","","","0.682324359848269","92.62","54","47","14","5","0","0","0","","","","50","44","15","11","1","0","","","","","",""
"Swim, Z2 Aerobic 8-6-4-2","Swim","Warmup 400 Freestyle 100 Kick 200 Pull 2x100s open water sighting practice (15s rest) Main set: Swim 800-600-400-200 with 30-60 rest between. Kick 200 easy with board and fins. Cool down 100 breastroke.","1","2926","2018-01-03","","2926.080078125","","","","","0.785644173622131","1.03422903203089","","21","","","","","","0.791989886353205","39.03","","","","","","","","","","","","","","","","","","","","","",""
"~Z2-Z3 Long Trainer Ride with Tempo/Strength/Drills **This one by feel given all the skiing","Bike","Warmup 15 minutes easy spinning WARMUP DRILL: Include 4 continuous sets of the following: alternating 1 min climb at 70 rpm, 1 min flat road at 90 rpm, 1 min very fast cadence over 110 rpm. Ride 5 minutes in zone 2 endurance (5-6/10) TEMPO: Ride 3 x 4 minutes tempo effort (7/10). Recover 5 minutes easy in-between. GRADUAL CLIMBS: Climb in or out of the saddle 4 x 2 minutes at 70 rpm (heavy gearing). Ride 2 minutes easy high-cadence spinning in-between. Ride 5 minutes in zone 2 endurance (5-6/10) STEEP CLIMBS: Ride 4 x 30 seconds in a heavy/big gear. Recover 90 seconds in-between. These power climbs can be seated or standing. Ride any remaining time easy to get the full volume.","2","","2018-01-03","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Double Hip Flexor Stretch","Other","Take 5 minutes to stretch the hips fully. Do both sides, 2 times through, holding 30-45 seconds on each leg. Video of the stretch is here although you can adjust it a bit if this stretch is too agressive. https://www.youtube.com/watch?v=FJ4exDo_3ew","0.0833333333333333","","2018-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
