date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race
2018-03-09,Pool Swimming,False,Lap Swimming,"2,300",416,00:57:22,0,0,0.0,0,0,0 days 00:01:27,0 days 00:01:05,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,601,30,22,0,0,57:22,0:00,0.0,0:00,No,00:00.00,72,0.0,0,0,0,3,garmin,0
2018-03-10,Running,False,Lafayette Running,3.30,409,00:25:02,153,164,2.7,173,183,0 days 00:07:35,0 days 00:06:59,49,56,1.22,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:02,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-03-10,Pool Swimming,False,Lap Swimming,"2,000",390,00:36:47,0,0,0.0,0,0,0 days 00:01:24,0 days 00:01:14,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,567,29,22,0,0,36:47,0:00,0.0,0:00,No,00:00.00,38,0.0,0,0,0,3,garmin,0
2018-03-10,Indoor Cycling,False,Indoor Cycling,0.00,"2,006",02:40:03,137,168,3.4,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,89,99,224,47% L / 53% R,125.8,271,210,403,0.0,0.0,14306,0,0,0,0,2:40:03,0:00,0.0,0:00,No,00:00.00,16,0.0,0,0,0,3,garmin,0
2018-03-11,Running,False,Denver Running,12.01,"1,220",01:31:38,146,163,2.6,175,188,0 days 00:07:38,0 days 00:06:25,410,413,1.2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:31:38,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-03-11,Cycling,False,Lafayette Cycling,21.64,681,01:32:34,117,136,1.9,0,0,14.0,24.2,883,863,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:32:34,0:00,0.0,0:00,No,00:00.00,5,0.0,0,0,0,3,garmin,0
2018-03-12,Pool Swimming,False,Lap Swimming,"3,500",694,01:32:43,0,0,0.0,0,0,0 days 00:01:27,0 days 00:01:01,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1036,30,23,0,0,1:32:43,0:00,0.0,0:00,No,00:00.00,66,0.0,0,0,0,3,garmin,0
2018-03-12,Indoor Cycling,False,Indoor Cycling,0.00,520,00:45:03,123,146,2.2,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,88,98,203,47% L / 53% R,28.8,214,193,278,0.0,0.0,3972,0,0,0,0,45:03,0:00,0.0,0:00,No,00:00.00,4,0.0,0,0,0,3,garmin,0
2018-03-13,Indoor Cycling,False,Indoor Cycling,0.00,468,00:54:05,106,120,1.5,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,89,99,160,44% L / 56% R,21.4,181,144,226,0.0,0.0,4471,0,0,0,0,54:05,0:00,0.0,0:00,No,00:00.00,3,0.0,0,0,0,3,garmin,0
2018-03-13,Running,False,Lafayette Running,6.83,760,00:50:06,149,166,2.8,178,188,0 days 00:07:20,0 days 00:06:27,226,233,1.23,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:06,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-03-13,Hiking,False,Lafayette Hiking,1.85,96,00:35:32,82,96,1.0,101,120,0 days 00:19:12,0 days 00:14:59,36,36,0.82,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:32,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0
2018-03-14,Pool Swimming,False,Lap Swimming,"3,300",595,01:01:22,0,0,0.0,0,0,0 days 00:01:23,0 days 00:01:12,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,886,28,23,0,0,1:01:22,0:00,0.0,0:00,No,00:00.00,50,0.0,0,0,0,3,garmin,0
2018-03-14,Indoor Cycling,False,Indoor Cycling,0.00,"1,160",01:30:03,133,159,3.3,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,88,94,229,48% L / 52% R,73.7,254,215,342,0.0,0.0,8015,0,0,0,0,1:30:03,0:00,0.0,0:00,No,00:00.00,7,0.0,0,0,0,3,garmin,0
2018-03-14,Running,False,Lafayette Running,2.53,233,00:23:57,121,135,1.4,169,178,0 days 00:09:27,0 days 00:07:58,33,39,1.01,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,23:57,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
2018-03-15,Running,False,Lafayette Running,8.09,898,01:00:48,148,164,2.7,180,188,0 days 00:07:31,0 days 00:07:03,253,279,1.19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:00:48,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0
